date,hour,forecast_base,forecast_hour,temp_media,temp_max,temp_min,umid_mediana,umid_max,umid_min,precipitacao_total,dia_semana_num,day_of_year,mes,trimestre,feriado,Chuva_aberta,loja_id
2025-10-17,7,2025-10-17T06:00:00,1,18.08531379699707,19.50823974609375,16.87823486328125,97.6999969482422,99.0999984741211,95.0,2.6875,4,290,10,4,0,2.6875,1
2025-10-17,8,2025-10-17T06:00:00,2,18.03512382507324,19.167633056640625,17.037628173828125,97.6999969482422,98.8000030517578,94.5999984741211,5.375,4,290,10,4,0,5.375,1
2025-10-17,9,2025-10-17T06:00:00,3,18.04701805114746,19.167022705078125,17.037017822265625,97.64999389648438,98.8000030517578,94.3000030517578,6.9375,4,290,10,4,0,6.9375,1
2025-10-17,10,2025-10-17T06:00:00,4,18.66286849975586,19.7432861328125,17.643280029296875,96.8000030517578,97.9000015258789,93.8000030517578,9.1875,4,290,10,4,0,9.1875,1
2025-10-17,11,2025-10-17T06:00:00,5,19.36100196838379,20.647247314453125,18.3072509765625,95.0999984741211,97.3000030517578,92.9000015258789,13.375,4,290,10,4,0,13.375,1
2025-10-17,12,2025-10-17T06:00:00,6,19.669404983520508,21.155242919921875,18.4952392578125,95.40000915527344,97.60000610351562,91.20000457763672,21.4375,4,290,10,4,0,21.4375,1
2025-10-17,13,2025-10-17T06:00:00,7,19.97661018371582,21.55160522460937,18.5216064453125,94.95001220703124,98.70000457763672,90.20000457763672,18.375,4,290,10,4,0,18.375,1
2025-10-17,14,2025-10-17T06:00:00,8,20.09589958190918,21.69174194335937,18.3917236328125,94.8000030517578,98.5999984741211,89.0,34.0625,4,290,10,4,0,34.0625,1
2025-10-17,15,2025-10-17T06:00:00,9,20.124963760375977,21.92913818359375,18.42913818359375,94.6999969482422,98.9000015258789,89.5999984741211,56.75,4,290,10,4,0,56.75,1
2025-10-17,16,2025-10-17T06:00:00,10,20.203594207763672,22.0535888671875,18.5535888671875,94.14999389648438,98.9000015258789,90.0,80.75,4,290,10,4,0,80.75,1
2025-10-17,17,2025-10-17T06:00:00,11,20.33936309814453,22.28936767578125,18.58935546875,93.70000457763672,98.60000610351562,89.20000457763672,104.25,4,290,10,4,0,104.25,1
2025-10-17,18,2025-10-17T06:00:00,12,20.02698135375977,21.926971435546875,18.72698974609375,94.1999969482422,98.8000030517578,90.0,131.625,4,290,10,4,0,131.625,1
2025-10-17,19,2025-10-17T06:00:00,13,19.739931106567383,21.14410400390625,18.444091796875,95.3000030517578,98.6999969482422,90.0999984741211,23.4375,4,290,10,4,0,23.4375,1
2025-10-17,20,2025-10-17T06:00:00,14,19.27500343322754,20.350006103515625,17.95001220703125,96.5500030517578,99.3000030517578,91.4000015258789,49.3125,4,290,10,4,0,49.3125,1
2025-10-17,21,2025-10-17T06:00:00,15,18.78329849243164,19.42913818359375,17.92913818359375,97.0500030517578,99.5999984741211,94.0999984741211,67.0625,4,290,10,4,0,67.0625,1
2025-10-17,22,2025-10-17T06:00:00,16,18.3179988861084,18.89300537109375,17.792999267578125,97.64999389648438,99.5999984741211,95.8000030517578,80.4375,4,290,10,4,0,80.4375,1
2025-10-17,23,2025-10-17T06:00:00,17,18.17434883117676,18.67266845703125,17.412689208984375,97.3000030517578,99.3000030517578,95.9000015258789,88.25,4,290,10,4,0,88.25,1
2025-10-18,0,2025-10-17T06:00:00,18,18.007356643676758,18.51318359375,16.793182373046875,97.1500015258789,99.4000015258789,93.8000030517578,95.3125,5,291,10,4,0,95.3125,1
2025-10-18,1,2025-10-17T06:00:00,19,17.64054298400879,18.347625732421875,16.75762939453125,96.4000015258789,99.3000030517578,89.80000305175781,4.125,5,291,10,4,0,4.125,1
2025-10-18,2,2025-10-17T06:00:00,20,17.16679573059082,18.0322265625,16.362213134765625,95.9499969482422,99.0,90.3000030517578,8.3125,5,291,10,4,0,8.3125,1
2025-10-18,3,2025-10-17T06:00:00,21,16.709707260131836,17.3076171875,15.567626953125,96.25,99.0,90.0,11.625,5,291,10,4,0,11.625,1
2025-10-18,4,2025-10-17T06:00:00,22,16.29277992248535,17.0565185546875,15.166534423828123,95.89999389648438,99.0999984741211,90.0,13.875,5,291,10,4,0,13.875,1
2025-10-18,5,2025-10-17T06:00:00,23,15.952263832092283,16.678924560546875,15.068939208984377,96.15000915527344,99.20000457763672,91.20000457763672,15.0,5,291,10,4,0,15.0,1
2025-10-18,6,2025-10-17T06:00:00,24,15.73019790649414,16.41143798828125,14.961456298828123,96.3000030517578,99.20000457763672,90.70000457763672,15.3125,5,291,10,4,0,15.3125,1
2025-10-18,7,2025-10-17T06:00:00,25,15.650890350341797,16.33172607421875,14.9017333984375,96.5999984741211,99.0999984741211,89.4000015258789,0.5,5,291,10,4,0,0.5,1
2025-10-18,8,2025-10-17T06:00:00,26,15.60543155670166,16.398345947265625,14.828338623046877,96.39999389648438,98.8000030517578,85.0999984741211,2.0,5,291,10,4,0,2.0,1
2025-10-18,9,2025-10-17T06:00:00,27,15.515143394470217,16.427642822265625,14.497650146484377,95.9499969482422,98.4000015258789,80.5999984741211,4.25,5,291,10,4,0,4.25,1
2025-10-18,10,2025-10-17T06:00:00,28,15.542716026306152,16.894378662109375,14.3743896484375,95.35000610351562,98.40000915527344,81.70000457763672,5.0625,5,291,10,4,0,5.0625,1
2025-10-18,11,2025-10-17T06:00:00,29,16.080265045166016,17.954864501953125,14.494842529296877,93.0999984741211,98.4000015258789,79.30000305175781,5.5,5,291,10,4,0,5.5,1
2025-10-18,12,2025-10-17T06:00:00,30,16.610300064086914,18.79779052734375,14.6278076171875,90.6999969482422,97.9000015258789,72.0999984741211,6.375,5,291,10,4,0,6.375,1
2025-10-18,13,2025-10-17T06:00:00,31,16.93323516845703,20.00531005859375,14.88531494140625,89.3499984741211,97.0999984741211,64.0999984741211,0.9375,5,291,10,4,0,0.9375,1
2025-10-18,14,2025-10-17T06:00:00,32,17.712560653686523,20.866729736328125,14.46673583984375,83.14999389648438,96.3000030517578,58.09999847412109,1.875,5,291,10,4,0,1.875,1
2025-10-18,15,2025-10-17T06:00:00,33,18.91123390197754,22.061248779296875,15.26123046875,67.94999694824219,91.6999969482422,53.79999923706055,2.5625,5,291,10,4,0,2.5625,1
2025-10-18,16,2025-10-17T06:00:00,34,20.547101974487305,22.97210693359375,17.872100830078125,60.150001525878906,80.30000305175781,50.10000228881836,3.375,5,291,10,4,0,3.375,1
2025-10-18,17,2025-10-17T06:00:00,35,21.24199867248535,23.17950439453125,18.4794921875,55.69999694824219,77.30000305175781,48.400001525878906,3.875,5,291,10,4,0,3.875,1
2025-10-18,18,2025-10-17T06:00:00,36,21.251379013061523,22.830535888671875,19.4305419921875,58.5,73.0,53.400001525878906,4.125,5,291,10,4,0,4.125,1
2025-10-18,19,2025-10-17T06:00:00,37,20.05966186523437,21.530487060546875,19.1304931640625,65.60000610351562,71.4000015258789,54.5,0.5625,5,291,10,4,0,0.5625,1
2025-10-18,20,2025-10-17T06:00:00,38,18.883623123168945,20.50863647460937,17.2086181640625,70.55000305175781,75.0,58.0,1.3125,5,291,10,4,0,1.3125,1
2025-10-18,21,2025-10-17T06:00:00,39,17.294553756713867,18.52789306640625,15.52789306640625,71.55000305175781,79.0999984741211,64.0999984741211,1.625,5,291,10,4,0,1.625,1
2025-10-18,22,2025-10-17T06:00:00,40,15.577448844909668,16.794952392578125,14.354949951171877,70.25,78.5,61.09999847412109,1.6875,5,291,10,4,0,1.6875,1
2025-10-18,23,2025-10-17T06:00:00,41,14.395171165466309,15.531005859375,13.191009521484377,69.9000015258789,83.9000015258789,59.900001525878906,1.75,5,291,10,4,0,1.75,1
2025-10-19,0,2025-10-17T06:00:00,42,13.381400108337402,14.5947265625,11.9747314453125,69.75,79.0,60.20000076293945,1.8125,6,292,10,4,0,1.8125,1
2025-10-19,1,2025-10-17T06:00:00,43,12.343743324279783,13.538330078125,10.9083251953125,71.5999984741211,83.5,63.400001525878906,0.0,6,292,10,4,0,0.0,1
2025-10-19,2,2025-10-17T06:00:00,44,11.380115509033203,12.32427978515625,10.13427734375,75.69999694824219,85.5999984741211,65.0999984741211,0.0,6,292,10,4,0,0.0,1
2025-10-19,3,2025-10-17T06:00:00,45,10.45632266998291,11.484649658203123,9.124664306640623,79.69999694824219,90.5999984741211,69.5,0.0,6,292,10,4,0,0.0,1
2025-10-19,4,2025-10-17T06:00:00,46,9.8418550491333,10.8272705078125,8.50726318359375,81.19999694824219,92.9000015258789,72.80000305175781,0.0,6,292,10,4,0,0.0,1
2025-10-19,5,2025-10-17T06:00:00,47,9.282672882080078,10.21807861328125,8.048095703125,83.5,94.1999969482422,76.5,0.0,6,292,10,4,0,0.0,1
2025-10-19,6,2025-10-17T06:00:00,48,8.698500633239746,10.031005859375,7.34100341796875,85.5,95.0999984741211,76.30000305175781,0.0,6,292,10,4,0,0.0,1
2025-10-19,7,2025-10-17T06:00:00,49,8.286805152893066,9.50054931640625,7.070556640625,87.44999694824219,95.3000030517578,78.0999984741211,0.0,6,292,10,4,0,0.0,1
2025-10-19,8,2025-10-17T06:00:00,50,7.989387512207031,9.06396484375,6.853973388671875,88.55000305175781,95.6999969482422,79.9000015258789,0.0,6,292,10,4,0,0.0,1
2025-10-19,9,2025-10-17T06:00:00,51,7.824958801269531,8.787872314453125,6.797882080078125,89.25,95.5,81.0,0.0,6,292,10,4,0,0.0,1
2025-10-19,10,2025-10-17T06:00:00,52,9.651676177978516,10.607086181640623,8.777099609375,84.0,88.0,79.30000305175781,0.0,6,292,10,4,0,0.0,1
2025-10-19,11,2025-10-17T06:00:00,53,12.256083488464355,13.4710693359375,11.2410888671875,73.3499984741211,80.0,68.9000015258789,0.0,6,292,10,4,0,0.0,1
2025-10-19,12,2025-10-17T06:00:00,54,14.200148582458496,15.5159912109375,12.725982666015623,66.44999694824219,72.5,60.79999923706055,0.0,6,292,10,4,0,0.0,1
2025-10-19,13,2025-10-17T06:00:00,55,15.688715934753418,17.127471923828125,13.907470703125,60.5,69.5999984741211,54.79999923706055,0.0,6,292,10,4,0,0.0,1
2025-10-19,14,2025-10-17T06:00:00,56,16.92768669128418,18.4735107421875,15.17352294921875,55.95000076293945,66.30000305175781,49.5,0.0,6,292,10,4,0,0.0,1
2025-10-19,15,2025-10-17T06:00:00,57,17.931875228881836,19.473541259765625,16.273529052734375,53.05000305175781,63.29999923706055,46.20000076293945,0.0,6,292,10,4,0,0.0,1
2025-10-19,16,2025-10-17T06:00:00,58,18.681825637817383,20.173492431640625,17.073486328125,51.5,61.0,44.900001525878906,0.0,6,292,10,4,0,0.0,1
2025-10-19,17,2025-10-17T06:00:00,59,19.069515228271484,20.54452514648437,17.344512939453125,50.650001525878906,59.5,44.29999923706055,0.0,6,292,10,4,0,0.0,1
2025-10-19,18,2025-10-17T06:00:00,60,19.09673500061035,20.59674072265625,17.396728515625,51.09999847412109,59.09999847412109,44.70000076293945,0.0,6,292,10,4,0,0.0,1
2025-10-19,19,2025-10-17T06:00:00,61,18.87787437438965,20.34454345703125,17.34454345703125,54.59999847412109,64.0999984741211,47.900001525878906,0.0,6,292,10,4,0,0.0,1
2025-10-19,20,2025-10-17T06:00:00,62,18.136173248291016,19.52783203125,16.427825927734375,61.79999923706055,69.30000305175781,54.79999923706055,0.0,6,292,10,4,0,0.0,1
2025-10-19,21,2025-10-17T06:00:00,63,16.14240074157715,17.401580810546875,14.54156494140625,69.80000305175781,74.19999694824219,61.79999923706055,0.0,6,292,10,4,0,0.0,1
2025-10-19,22,2025-10-17T06:00:00,64,13.653813362121582,14.94256591796875,11.94256591796875,73.94999694824219,76.69999694824219,69.4000015258789,0.0,6,292,10,4,0,0.0,1
2025-10-19,23,2025-10-17T06:00:00,65,13.060463905334473,14.7113037109375,11.361297607421877,72.69999694824219,79.4000015258789,68.4000015258789,0.0,6,292,10,4,0,0.0,1
2025-10-20,0,2025-10-17T06:00:00,66,12.77120304107666,14.362030029296877,11.122039794921877,70.44999694824219,78.69999694824219,66.9000015258789,0.0,0,293,10,4,0,0.0,1
2025-10-20,1,2025-10-17T06:00:00,67,12.040682792663574,13.5010986328125,10.5010986328125,72.1500015258789,78.5999984741211,68.80000305175781,0.0,0,293,10,4,0,0.0,1
2025-10-20,2,2025-10-17T06:00:00,68,11.255661964416504,12.719818115234377,9.9598388671875,74.14999389648438,80.69999694824219,69.5999984741211,0.0,0,293,10,4,0,0.0,1
2025-10-20,3,2025-10-17T06:00:00,69,10.670509338378906,12.12091064453125,9.25091552734375,76.3499984741211,82.5,71.5,0.0,0,293,10,4,0,0.0,1
2025-10-20,4,2025-10-17T06:00:00,70,10.089306831359863,11.706390380859377,8.6763916015625,78.94999694824219,86.4000015258789,74.30000305175781,0.0,0,293,10,4,0,0.0,1
2025-10-20,5,2025-10-17T06:00:00,71,9.566120147705078,11.14361572265625,7.873626708984375,82.0999984741211,91.3000030517578,77.5,0.0,0,293,10,4,0,0.0,1
